timestamp,open,high,low,close,volume
2024-02-19 01:00:00,31786,31815,31604,31649,0.6628
2024-02-19 02:00:00,31636,31716,31550,31569,0.5125
2024-02-19 03:00:00,31577,31721,31567,31628,0.0176
2024-02-19 04:00:00,31646,31717,31545,31638,0.6342
2024-02-19 05:00:00,31637,31852,31615,31852,0.9851
2024-02-19 06:00:00,31843,31965,31733,31931,1.5155
2024-02-19 07:00:00,31937,32048,31646,31684,4.0844
2024-02-19 08:00:00,31687,32072,31606,31963,8.1755
2024-02-19 09:00:00,31978,31996,31850,31987,2.6793
2024-02-19 10:00:00,32002,32080,31874,32018,1.8077
2024-02-19 11:00:00,32018,32188,32015,32056,2.0077
2024-02-19 12:00:00,32037,32222,32023,32111,15.3604
2024-02-19 13:00:00,32121,32174,31950,32002,5.0242
2024-02-19 14:00:00,31993,31996,31695,31816,3.4430
2024-02-19 15:00:00,31871,31975,31702,31903,0.9993
2024-02-19 16:00:00,31889,32027,31880,31997,0.9092
2024-02-19 17:00:00,31998,32153,31900,31963,1.4525
2024-02-19 18:00:00,31990,32338,31942,32338,2.2910
2024-02-19 19:00:00,32326,32435,32209,32358,0.9520
2024-02-19 20:00:00,32358,32400,32156,32289,3.7108
2024-02-19 21:00:00,32283,32352,32214,32222,1.8021
2024-02-19 22:00:00,32230,32458,32187,32424,3.6664
2024-02-19 23:00:00,32424,32457,32070,32090,2.6337
2024-02-20 00:00:00,32085,32119,31940,32039,2.0218
2024-02-20 01:00:00,32038,32360,32029,32271,2.2426
2024-02-20 02:00:00,32284,32351,32132,32287,1.7585
2024-02-20 03:00:00,32287,32381,32259,32346,2.2732
2024-02-20 04:00:00,32328,32352,32197,32200,3.4825
2024-02-20 05:00:00,32210,32433,32204,32315,0.6112
2024-02-20 06:00:00,32309,32390,32215,32253,0.3127
2024-02-20 07:00:00,32253,32333,32186,32241,0.1340
2024-02-20 08:00:00,32232,32252,32126,32213,0.6134
2024-02-20 09:00:00,32209,32298,32176,32178,0.9981
2024-02-20 10:00:00,32181,32230,32000,32110,3.0400
2024-02-20 11:00:00,32106,32176,31956,32001,0.9233
2024-02-20 12:00:00,31992,32190,31992,32172,1.4517
2024-02-20 13:00:00,32150,32234,31869,32075,2.5378
2024-02-20 14:00:00,32101,32612,32042,32594,4.8349
2024-02-20 15:00:00,32594,32728,32360,32596,10.0136
2024-02-20 16:00:00,32603,32759,32491,32596,3.9580
2024-02-20 17:00:00,32568,32701,32360,32653,3.8310
2024-02-20 18:00:00,32615,32895,32538,32877,2.4351
2024-02-20 19:00:00,32876,32877,32507,32517,0.6729
2024-02-20 20:00:00,32540,32876,32540,32679,1.8436
2024-02-20 21:00:00,32670,32853,32611,32779,4.4664
2024-02-20 22:00:00,32800,32963,32778,32921,1.3870
2024-02-20 23:00:00,32918,33000,32812,32902,1.2612
2024-02-21 00:00:00,32893,33200,32893,32988,3.4815
2024-02-21 01:00:00,33023,33189,32898,32951,1.6336
2024-02-21 02:00:00,32946,32987,32792,32927,1.6925
2024-02-21 03:00:00,32935,32945,32764,32855,0.8028
2024-02-21 04:00:00,32836,32846,32712,32751,0.7861
2024-02-21 05:00:00,32749,32879,32739,32850,1.6070
2024-02-21 06:00:00,32827,32928,32791,32812,0.4810
2024-02-21 07:00:00,32802,32832,32360,32360,2.7512
2024-02-21 08:00:00,32360,32556,32245,32523,1.7414
2024-02-21 09:00:00,32503,32697,32463,32524,1.5769
2024-02-21 10:00:00,32512,32646,32303,32606,3.5541
2024-02-21 11:00:00,32626,32821,32541,32623,8.4610
2024-02-21 12:00:00,32626,32765,32488,32748,1.5763
2024-02-21 13:00:00,32721,32796,32540,32672,1.3609
2024-02-21 14:00:00,32685,32829,32581,32825,0.9009
2024-02-21 15:00:00,32809,32886,32461,32499,2.3551
2024-02-21 16:00:00,32507,32738,32470,32635,8.6722
2024-02-21 17:00:00,32606,32764,32606,32626,2.3150
2024-02-21 18:00:00,32622,32645,32324,32547,1.3190
2024-02-21 19:00:00,32549,32764,32498,32704,1.0616
2024-02-21 20:00:00,32704,32853,32546,32822,1.0338
2024-02-21 21:00:00,32827,32841,32608,32697,0.2159
2024-02-21 22:00:00,32689,32763,32599,32618,0.2144
2024-02-21 23:00:00,32635,32830,32635,32753,1.2877
2024-02-22 00:00:00,32771,33053,32756,32825,1.6379
2024-02-22 01:00:00,32791,32816,32572,32711,1.6675
2024-02-22 02:00:00,32727,32975,32695,32714,2.0303
2024-02-22 03:00:00,32705,32783,32635,32641,0.8084
2024-02-22 04:00:00,32644,32737,32639,32701,0.4112
2024-02-22 05:00:00,32685,32716,32485,32525,1.1074
2024-02-22 06:00:00,32527,32674,32499,32598,0.3420
2024-02-22 07:00:00,32599,32794,32558,32762,0.3603
2024-02-22 08:00:00,32769,33132,32769,33126,1.6072
2024-02-22 09:00:00,33119,33299,32868,33076,4.0692
2024-02-22 10:00:00,33076,33203,32933,33203,0.7510
2024-02-22 11:00:00,33139,33184,32861,32873,0.7981
2024-02-22 12:00:00,32884,32924,32639,32656,0.7189
2024-02-22 13:00:00,32657,32819,32445,32445,3.4207
2024-02-22 14:00:00,32444,32468,32222,32347,1.0540
2024-02-22 15:00:00,32309,32361,32136,32312,3.0240
2024-02-22 16:00:00,32311,32599,32262,32516,0.4342
2024-02-22 17:00:00,32498,32520,32225,32323,1.1938
2024-02-22 18:00:00,32340,32418,32200,32202,0.6909
2024-02-22 19:00:00,32202,32255,32066,32194,5.9808
2024-02-22 20:00:00,32169,32169,31929,32104,3.4702
2024-02-22 21:00:00,32104,32269,31902,32115,7.9495
2024-02-22 22:00:00,32127,32127,31710,31710,4.7213
2024-02-22 23:00:00,31711,31981,31710,31878,3.7868
2024-02-23 00:00:00,31878,32043,31775,32018,1.1200
2024-02-23 01:00:00,32014,32211,32007,32160,0.5717
2024-02-23 02:00:00,32169,32185,32032,32079,0.4479
2024-02-23 03:00:00,32074,32203,31760,31844,1.9319
2024-02-23 04:00:00,31870,32174,31784,32149,0.6245
2024-02-23 05:00:00,32147,32358,32113,32245,2.8880
2024-02-23 06:00:00,32254,32360,32202,32334,0.4549
2024-02-23 07:00:00,32331,32331,32252,32296,0.0213
2024-02-23 08:00:00,32297,32297,32048,32111,0.5640
2024-02-23 09:00:00,32138,32189,31962,32076,0.6873
2024-02-23 10:00:00,32052,32285,31959,32283,0.9315
2024-02-23 11:00:00,32286,32296,32193,32227,0.0826
2024-02-23 12:00:00,32231,32265,32006,32038,0.7580
2024-02-23 13:00:00,32039,32113,31973,32041,1.7574
2024-02-23 14:00:00,32046,32090,31879,31908,1.7339
2024-02-23 15:00:00,31893,32097,31856,31898,0.3132
2024-02-23 16:00:00,31897,31945,31771,31882,1.6883
2024-02-23 17:00:00,31853,32222,31845,32075,3.0121
2024-02-23 18:00:00,32078,32186,32016,32106,0.1532
2024-02-23 19:00:00,32131,32167,32026,32047,0.4533
2024-02-23 20:00:00,32047,32048,31877,31895,0.8503
2024-02-23 21:00:00,31902,31982,31874,31958,0.2762
2024-02-23 22:00:00,31944,31973,31915,31944,0.0602
2024-02-23 23:00:00,31955,32031,31861,31978,1.4836
2024-02-24 00:00:00,31969,32046,31813,31861,2.5654
2024-02-24 01:00:00,31859,32080,31822,31997,2.4602
2024-02-24 02:00:00,32011,32104,31945,32046,0.5675
2024-02-24 03:00:00,32052,32113,31962,32025,1.0835
2024-02-24 04:00:00,32025,32102,31975,32056,0.2809
2024-02-24 05:00:00,32047,32110,31991,32081,0.0759
2024-02-24 06:00:00,32071,32081,31954,31954,0.3496
2024-02-24 07:00:00,31954,32042,31925,31936,0.0341
2024-02-24 08:00:00,31951,32019,31915,32019,0.2138
2024-02-24 09:00:00,32039,32076,31912,32071,0.6656
2024-02-24 10:00:00,32054,32065,31894,31983,0.7404
2024-02-24 11:00:00,31961,32072,31658,31700,0.8837
2024-02-24 12:00:00,31702,31773,31493,31493,1.1889
2024-02-24 13:00:00,31495,31499,31290,31409,1.8430
2024-02-24 14:00:00,31428,31543,31373,31542,1.3495
2024-02-24 15:00:00,31542,31716,31497,31698,0.6186
2024-02-24 16:00:00,31707,31722,31630,31636,0.3142
2024-02-24 17:00:00,31641,31691,31486,31547,0.5105
2024-02-24 18:00:00,31570,31838,31486,31768,0.8993
2024-02-24 19:00:00,31785,31921,31770,31845,1.1307
2024-02-24 20:00:00,31865,31876,31698,31720,0.6381
2024-02-24 21:00:00,31723,31741,31673,31679,0.4368
2024-02-24 22:00:00,31679,31680,31528,31539,0.5898
2024-02-24 23:00:00,31545,31745,31542,31694,2.2299
2024-02-25 00:00:00,31685,31754,31611,31726,0.9259
2024-02-25 01:00:00,31718,31944,31177,31921,10.6429
2024-02-25 02:00:00,31920,32121,31920,32109,0.4330
2024-02-25 03:00:00,32102,32469,32073,32358,1.9980
2024-02-25 04:00:00,32371,32489,32300,32367,0.1992
2024-02-25 05:00:00,32353,32500,32236,32500,1.2762
2024-02-25 06:00:00,32476,32590,32412,32561,0.1817
2024-02-25 07:00:00,32573,32680,32459,32511,1.1357
2024-02-25 08:00:00,32526,32541,32413,32413,0.3890
2024-02-25 09:00:00,32440,32491,32300,32311,0.7045
2024-02-25 10:00:00,32312,32405,32272,32342,0.0349
2024-02-25 11:00:00,32348,32525,32346,32524,0.2033
2024-02-25 12:00:00,32502,32575,32492,32555,0.5551
2024-02-25 13:00:00,32558,32680,32530,32562,1.0742
2024-02-25 14:00:00,32565,32667,32493,32622,1.5154
2024-02-25 15:00:00,32619,32853,32604,32796,3.2622
2024-02-25 16:00:00,32773,32804,32536,32565,1.9006
2024-02-25 17:00:00,32566,32662,32505,32590,0.8730
2024-02-25 18:00:00,32587,32704,32571,32669,1.0888
2024-02-25 19:00:00,32680,32680,32564,32651,0.1838
2024-02-25 20:00:00,32669,32819,32608,32713,1.9499
2024-02-25 21:00:00,32731,33030,32725,32933,3.0465
2024-02-25 22:00:00,32940,33000,32799,33000,1.0326
2024-02-25 23:00:00,32990,33054,32733,32864,1.3831
2024-02-26 00:00:00,32836,33033,32816,32947,0.5463
2024-02-26 01:00:00,32951,33139,32904,32985,0.9070
2024-02-26 02:00:00,32961,33034,32900,33006,0.0998
2024-02-26 03:00:00,32979,33013,32678,32739,0.3702
2024-02-26 04:00:00,32728,32902,32631,32902,0.4402
2024-02-26 05:00:00,32896,32921,32774,32876,0.1793
2024-02-26 06:00:00,32884,32991,32863,32914,0.0983
2024-02-26 07:00:00,32931,32973,32861,32933,0.1476
2024-02-26 08:00:00,32940,32957,32718,32792,0.5170
2024-02-26 09:00:00,32792,32927,32770,32830,0.5262
2024-02-26 10:00:00,32826,32888,32294,32855,6.0383
2024-02-26 11:00:00,32846,33044,32832,32924,1.5237
2024-02-26 12:00:00,32918,32996,32750,32915,0.3640
2024-02-26 13:00:00,32911,32920,32640,32730,13.3948
2024-02-26 14:00:00,32768,32768,32464,32493,4.0966
2024-02-26 15:00:00,32488,32643,32463,32600,1.8378
2024-02-26 16:00:00,32584,32670,32452,32655,4.5918
2024-02-26 17:00:00,32669,32785,32532,32599,4.2631
2024-02-26 18:00:00,32559,32624,32452,32457,1.8972
2024-02-26 19:00:00,32419,32545,32371,32453,1.9116
2024-02-26 20:00:00,32453,32773,32364,32432,1.9028
2024-02-26 21:00:00,32456,32749,32449,32611,2.0516
2024-02-26 22:00:00,32629,32672,32317,32620,2.6126
2024-02-26 23:00:00,32619,32926,32616,32903,4.0212
2024-02-27 00:00:00,32898,32898,32388,32398,3.8256
2024-02-27 01:00:00,32399,32648,32373,32503,2.1440
2024-02-27 02:00:00,32520,32901,32519,32816,5.7725
2024-02-27 03:00:00,32778,33173,32609,32668,17.8222
2024-02-27 04:00:00,32640,32654,32372,32571,2.4327
2024-02-27 05:00:00,32591,32607,32282,32328,1.8942
2024-02-27 06:00:00,32333,32443,32270,32325,0.7724
2024-02-27 07:00:00,32312,32475,32302,32378,1.6824
2024-02-27 08:00:00,32364,32364,31440,31532,41.1246
2024-02-27 09:00:00,31516,31673,31298,31298,4.2023
2024-02-27 10:00:00,31299,31551,31229,31397,3.6520
2024-02-27 11:00:00,31395,31800,31312,31713,4.0506
2024-02-27 12:00:00,31725,32047,31694,31955,5.8726
2024-02-27 13:00:00,31928,31928,31344,31534,9.5231
2024-02-27 14:00:00,31558,31921,31558,31792,7.0336
2024-02-27 15:00:00,31748,31815,31200,31629,11.4398
2024-02-27 16:00:00,31656,31933,31656,31776,5.2131
2024-02-27 17:00:00,31777,32112,31747,31781,2.1070
2024-02-27 18:00:00,31786,31796,31454,31494,2.9236
2024-02-27 19:00:00,31488,31528,31337,31338,0.6750
2024-02-27 20:00:00,31339,31483,31250,31304,0.6481
2024-02-27 21:00:00,31300,31459,31250,31377,2.7501
2024-02-27 22:00:00,31362,31558,31324,31400,1.3348
2024-02-27 23:00:00,31421,31750,31421,31549,0.8690
2024-02-28 00:00:00,31556,31585,31360,31372,0.2937
